time,open,high,low,close,tick_volume,spread,real_volume
2023-08-23 00:00:00,1.08465,1.08535,1.0846,1.08472,934,0,0
2023-08-23 01:00:00,1.08472,1.08562,1.08447,1.0855,1357,0,0
2023-08-23 02:00:00,1.0855,1.08576,1.08525,1.08545,944,0,0
2023-08-23 03:00:00,1.08545,1.08596,1.08519,1.08575,732,0,0
2023-08-23 04:00:00,1.08575,1.08607,1.0855,1.08607,606,0,0
2023-08-23 05:00:00,1.08607,1.08634,1.08585,1.08625,1039,0,0
2023-08-23 06:00:00,1.08625,1.08647,1.08522,1.0861399999999999,1828,0,0
2023-08-23 07:00:00,1.08613,1.08715,1.0812,1.08183,5371,0,0
2023-08-23 08:00:00,1.08181,1.08304,1.08155,1.08191,4324,0,0
2023-08-23 09:00:00,1.08191,1.0820400000000001,1.08084,1.08099,2570,0,0
2023-08-23 10:00:00,1.08099,1.08121,1.08054,1.08077,1951,0,0
2023-08-23 11:00:00,1.08076,1.08184,1.0804,1.08113,1998,0,0
2023-08-23 12:00:00,1.08111,1.08128,1.08026,1.08044,2997,0,0
2023-08-23 13:00:00,1.08043,1.08449,1.08035,1.0838,5786,0,0
2023-08-23 14:00:00,1.08379,1.08539,1.08349,1.08457,5556,0,0
2023-08-23 15:00:00,1.08456,1.08628,1.08447,1.0861399999999999,2455,0,0
2023-08-23 16:00:00,1.0861399999999999,1.08683,1.08562,1.08631,1668,0,0
2023-08-23 17:00:00,1.0863,1.08701,1.08598,1.08647,1443,0,0
2023-08-23 18:00:00,1.08647,1.08648,1.08558,1.08588,1412,0,0
2023-08-23 19:00:00,1.08588,1.0866500000000001,1.08586,1.08639,981,0,0
2023-08-23 20:00:00,1.08639,1.08658,1.0861,1.0862,680,0,0
2023-08-23 21:00:00,1.08632,1.08654,1.08617,1.08619,232,15,0
2023-08-23 22:00:00,1.08615,1.08667,1.08615,1.08639,321,15,0
2023-08-23 23:00:00,1.08639,1.0866,1.08611,1.08655,425,0,0
2023-08-24 00:00:00,1.08656,1.08752,1.08634,1.08698,1154,0,0
2023-08-24 01:00:00,1.08697,1.08701,1.08586,1.08611,1240,0,0
2023-08-24 02:00:00,1.0861,1.08674,1.08585,1.0865,989,0,0
2023-08-24 03:00:00,1.0865,1.0871,1.08631,1.08659,979,0,0
2023-08-24 04:00:00,1.08659,1.087,1.08639,1.08698,648,0,0
2023-08-24 05:00:00,1.08698,1.08766,1.08689,1.08709,1130,0,0
2023-08-24 06:00:00,1.08709,1.08734,1.08566,1.08568,2259,0,0
2023-08-24 07:00:00,1.08569,1.08606,1.08521,1.08563,2698,0,0
2023-08-24 08:00:00,1.08562,1.08644,1.0855299999999999,1.08621,1979,0,0
2023-08-24 09:00:00,1.08621,1.08635,1.08469,1.08485,1724,0,0
2023-08-24 10:00:00,1.08484,1.08564,1.08466,1.08546,1567,0,0
2023-08-24 11:00:00,1.08546,1.08585,1.08417,1.08423,1688,0,0
2023-08-24 12:00:00,1.08422,1.08442,1.0814300000000001,1.08208,3682,0,0
2023-08-24 13:00:00,1.08209,1.0844,1.08205,1.08419,3974,0,0
2023-08-24 14:00:00,1.08421,1.08488,1.08352,1.08395,4622,0,0
2023-08-24 15:00:00,1.08394,1.08407,1.08227,1.08256,2346,0,0
2023-08-24 16:00:00,1.08255,1.08277,1.08181,1.08213,1518,0,0
2023-08-24 17:00:00,1.08212,1.08239,1.08138,1.0816,1169,0,0
2023-08-24 18:00:00,1.0816,1.08198,1.08089,1.08092,1214,0,0
2023-08-24 19:00:00,1.08092,1.08125,1.08057,1.08059,1271,0,0
2023-08-24 20:00:00,1.08057,1.08117,1.08051,1.08092,493,0,0
2023-08-24 21:00:00,1.08096,1.0814300000000001,1.08089,1.08119,192,15,0
2023-08-24 22:00:00,1.08114,1.08114,1.08049,1.08055,264,35,0
2023-08-24 23:00:00,1.08055,1.08056,1.07908,1.07988,491,5,0
2023-08-25 00:00:00,1.07987,1.08042,1.07934,1.07945,1022,0,0
2023-08-25 01:00:00,1.07945,1.07951,1.07873,1.07891,1251,0,0
2023-08-25 02:00:00,1.07891,1.07896,1.0783,1.0786,989,0,0
2023-08-25 03:00:00,1.0786,1.07876,1.078,1.07805,685,0,0
2023-08-25 04:00:00,1.07805,1.07833,1.07769,1.07825,672,0,0
2023-08-25 05:00:00,1.07824,1.07914,1.07784,1.0789900000000001,1191,0,0
2023-08-25 06:00:00,1.07898,1.07908,1.07799,1.07808,2079,0,0
2023-08-25 07:00:00,1.07808,1.07919,1.07685,1.07715,2310,0,0
2023-08-25 08:00:00,1.0771600000000001,1.07878,1.07661,1.07864,2240,0,0
2023-08-25 09:00:00,1.07864,1.07945,1.07847,1.079,1552,0,0
2023-08-25 10:00:00,1.079,1.08034,1.07897,1.08028,1497,0,0
2023-08-25 11:00:00,1.08029,1.08113,1.07995,1.0803,1614,0,0
2023-08-25 12:00:00,1.08029,1.08171,1.08006,1.08129,2287,0,0
2023-08-25 13:00:00,1.08128,1.0815,1.07993,1.0808200000000001,2628,0,0
2023-08-25 14:00:00,1.0808200000000001,1.08417,1.07659,1.0771600000000001,12309,0,0
2023-08-25 15:00:00,1.0771600000000001,1.0790899999999999,1.07684,1.07863,4967,0,0
2023-08-25 16:00:00,1.07864,1.08002,1.07857,1.07964,2474,0,0
2023-08-25 17:00:00,1.07965,1.08027,1.0790899999999999,1.07988,1917,0,0
2023-08-25 18:00:00,1.07988,1.0812599999999999,1.07987,1.08073,1681,0,0
2023-08-25 19:00:00,1.08072,1.08108,1.07996,1.08029,1317,0,0
2023-08-25 20:00:00,1.0803,1.08033,1.07915,1.07952,669,0,0
2023-08-27 21:00:00,1.07957,1.07964,1.07952,1.07961,378,15,0
2023-08-27 22:00:00,1.07961,1.08002,1.07939,1.07948,334,0,0
2023-08-27 23:00:00,1.0794,1.08004,1.07928,1.0796999999999999,577,0,0
2023-08-28 00:00:00,1.0796999999999999,1.08047,1.07961,1.08024,1060,0,0
2023-08-28 01:00:00,1.08023,1.08099,1.0802,1.08025,1632,0,0
2023-08-28 02:00:00,1.08026,1.08099,1.08015,1.08088,925,0,0
2023-08-28 03:00:00,1.08088,1.08101,1.08072,1.08095,561,0,0
2023-08-28 04:00:00,1.08095,1.08112,1.08061,1.08078,457,0,0
2023-08-28 05:00:00,1.08078,1.08138,1.08055,1.08102,977,0,0
2023-08-28 06:00:00,1.08103,1.08191,1.08102,1.0816,1314,0,0
